limit_balance,sex,education_level,marital_status,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,default_payment_next_month
80000.0,1,6,1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1
200000.0,1,4,1,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20000.0,2,6,2,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1
260000.0,2,4,2,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0
150000.0,1,4,2,32.0,0.0,0.0,0.0,-1.0,0.0,0.0,0
300000.0,2,4,2,32.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
130000.0,1,1,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0
200000.0,1,1,1,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0
500000.0,1,1,1,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0
230000.0,1,1,1,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0
460000.0,1,1,1,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0
780000.0,1,1,1,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0
170000.0,1,1,1,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0
320000.0,1,1,1,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0
290000.0,1,1,1,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0
500000.0,1,1,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0
240000.0,1,1,1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0
340000.0,1,1,1,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0
360000.0,1,1,1,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1
380000.0,1,1,1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0
180000.0,1,1,1,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0
290000.0,1,1,1,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0
200000.0,1,1,1,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0
240000.0,1,1,1,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0
290000.0,1,1,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300000.0,1,1,1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0
180000.0,1,1,1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100000.0,1,1,1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0
200000.0,1,1,1,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0
500000.0,1,1,1,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80000.0,1,1,1,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0
320000.0,1,1,1,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0
90000.0,1,1,1,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50000.0,1,1,1,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0
380000.0,1,1,1,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20000.0,1,1,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0
160000.0,1,1,1,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70000.0,1,1,1,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0
280000.0,1,1,1,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50000.0,1,1,2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0
220000.0,1,1,2,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30000.0,1,1,2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0
200000.0,1,1,2,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50000.0,1,1,2,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120000.0,1,1,2,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10000.0,1,1,2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0
