ship_mode,segment,country,city,state,postal_code,region,category,sub_category,sales,quantity,discount,profit,authenticator
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,53b70781-c0ff-4266-8c48-549fb59d8db2
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,2391ff92-afd3-4e1b-98be-77b9f4f11230
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,374a2231-493b-481e-ba1b-b1041e18d610
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,1e8c4014-6399-4f30-8fef-66a95d3f2309
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,88cb49a4-fc0f-4347-8809-401990938cc4
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,11948a6e-cfa1-4bce-99b8-556a673fd688
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,4a4e17d1-0867-4d23-9130-d671e19a23af
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,861adfff-ad16-4feb-89a5-7a332c612946
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,c6778e95-9209-453c-85fc-de39f9e2a795
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,e4d6b29c-597c-4528-a2d6-8e3ce3663613
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,a6b1f1cb-bfa9-4727-b268-abd4633363c2
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,0c5ccf1c-a279-45e7-90e7-e98dc45b40df
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,c20d8701-368d-4cbf-8d5c-0d2d3e9d16a7
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,6d56536f-6f0b-4bc0-a03c-6a07972eeb18
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,48fc4b77-9265-4d01-b8d0-169dcbd4c6fa
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,e9d4ada1-e893-4525-a980-abb3fa18b830
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,8b566d0d-8eff-4c6b-bdce-38a9699b0e55
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,d0d66ce8-888c-466e-a79b-0ecb65925fdd
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,a1a74ebb-cf5d-4f9e-8680-8a5fe077ccab
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,6539292d-3529-4626-904a-3c91df9700f8
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,a028dd2a-0435-4515-a681-e0b3d782a763
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,f1a0e32c-6a1c-4165-82b7-c316637afd83
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,3b97ab63-c74c-4904-8e67-6bb36e34ab8e
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,b0be91ce-8962-4913-92e2-db92a2d1a0cb
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,566495d5-c493-47d1-aba4-7474cb4fcdb2
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,0804b0eb-ad3a-4ec3-bb9c-2800519db3d7
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,8d53b14e-b5d2-4981-b423-b107f48906f8
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,3f7f5fe1-77a6-4b10-94dc-7a023e6b8fa0
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,ec678d0b-6079-4e24-8268-40289e55e098
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,b106b84c-1f3f-499c-8b0f-eaac1d2024f8
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,56ef5b1d-715c-40d2-865e-3b6d92a9cac1
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,852fc057-c8f3-4ab5-a9b9-e55c438f14e1
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,34d6ab90-9395-42f8-b0dc-38e9f5887590
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,5083d86d-abf6-4f89-9fe6-f43aa65a1ea9
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,da3aa8cd-ab9b-47e9-af27-fadc116d40e5
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,c59a9dbe-8cb7-4a25-8962-2d2549f23c0e
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,6351c5e9-b696-4702-b7e7-060f79ad16d1
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,b8f81e4e-fab3-462b-babf-5671db9b3211
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,692426a0-2c15-4d4c-974c-30edb76353e8
