,0
0,274
1,840
2,3
3,1320
4,283
5,285
6,643
7,1
8,22
9,557
10,567
11,1666
12,575
13,773
14,587
15,700
16,1209
17,1575
18,1574
19,846
20,100
21,463
22,1468
23,7
24,158
25,438
26,356
27,598
28,590
29,120
30,1213
31,924
32,1259
33,234
34,2114
35,672
36,403
37,1132
38,15
39,9
40,83
41,12
42,1066
43,403
44,990
45,6
46,429
47,656
48,249
49,271
50,1739
51,275
52,425
53,448
54,12
55,2
56,593
57,1544
58,291
59,1266
60,773
61,804
62,197
63,1248
64,460
65,625
66,1488
67,50
68,561
69,603
70,1075
71,1630
72,567
73,1922
74,1
75,334
76,2
77,1
78,986
79,406
80,4
81,1
82,2
83,3
84,276
85,251
86,1475
87,916
88,477
89,1658
90,3
91,1489
92,656
93,435
94,1702
95,270
96,465
97,827
98,12
99,4
100,1170
101,5
102,6
103,64
104,364
105,340
106,351
107,587
108,1142
109,1723
110,879
111,12
112,6
113,1176
114,481
115,379
116,245
117,267
118,1089
119,386
120,508
121,198
122,838
123,326
124,338
125,3
126,1163
127,618
128,406
129,1027
130,595
131,306
132,1271
133,780
134,789
135,178
136,972
137,922
138,982
139,327
140,1223
141,5
142,938
143,1316
144,524
145,0
146,436
147,196
148,1261
149,1006
150,639
151,386
152,390
153,39
154,1149
155,2371
156,1285
157,1
158,1619
159,1803
160,803
161,2
162,3
163,4
164,2
165,3
166,1277
167,658
168,2
169,3
170,836
171,1
172,662
173,25
174,1038
175,560
176,2262
177,699
178,700
179,237
180,1662
181,521
182,1380
183,1468
184,230
185,1
186,3
187,178
188,282
189,381
190,1
191,555
192,701
193,528
194,289
195,1129
196,436
197,701
198,624
199,653
200,200
201,295
202,197
203,521
204,235
205,1834
206,2
207,1655
208,267
209,741
210,9
211,21
212,2
213,963
214,573
215,270
216,69
217,569
218,464
219,691
220,964
221,635
222,496
223,1020
224,7
225,752
226,1
227,11
228,482
229,9
230,493
231,5
232,2
233,3
234,1
235,861
236,667
237,1046
238,9
239,132
240,962
241,582
242,418
243,800
244,9
245,253
246,1
247,523
248,0
249,974
250,471
251,0
252,1
253,836
254,11
255,80
256,364
257,412
258,249
259,733
260,650
261,1
262,713
263,3
264,1122
265,1
266,228
267,426
268,310
269,59
270,417
271,578
272,542
273,311
274,1
275,367
276,493
277,14
278,16
279,151
280,359
281,481
282,176
283,667
284,588
285,1027
286,1423
287,528
288,44
289,1252
290,1486
291,88
292,286
293,261
294,372
295,789
296,851
297,800
298,1004
299,1835
300,1411
301,1740
302,1373
303,1284
304,292
305,407
306,1869
307,1553
308,956
309,404
310,1202
311,86
312,1213
313,153
314,1
315,3
316,3
317,3
318,1
319,897
320,1468
321,478
322,916
323,19
324,263
325,3
326,516
327,1002
328,1310
329,302
330,598
331,248
332,263
333,473
334,435
335,203
336,365
337,325
338,182
339,398
340,187
341,443
342,578
343,923
344,1
345,699
346,712
347,542
348,447
349,778
350,765
351,562
352,448
353,652
354,1807
355,632
356,1924
357,3
358,476
359,373
360,3
361,1744
362,632
363,1657
364,386
365,1
366,1110
367,1
368,376
369,3
370,1016
371,713
372,67
373,209
374,0
375,1
376,1395
377,543
378,532
379,9
380,276
381,4
382,327
383,195
384,496
385,4
386,1
387,2
388,452
389,1449
390,554
391,747
392,316
393,450
394,867
395,277
396,2
397,562
398,1
399,1263
400,1159
401,1990
402,603
403,817
404,1799
405,379
406,328
407,276
408,787
409,528
410,1415
411,1209
412,508
413,716
414,602
415,47
416,472
417,1658
418,1530
419,685
420,19
421,1405
422,534
423,818
424,391
425,384
426,1184
427,2
428,927
429,396
430,2
431,1
432,396
433,406
434,300
435,307
436,235
437,775
438,792
439,631
440,770
441,40
442,454
443,395
444,282
445,646
446,1
447,938
448,405
449,727
450,187
451,198
452,277
453,210
454,259
455,168
456,953
457,424
458,750
459,2571
460,261
461,1399
462,1662
463,33
464,19
465,2
466,10
467,211
468,9
469,332
470,42
471,455
472,508
473,192
474,626
475,1677
476,1100
477,1922
478,556
479,640
480,587
481,173
482,304
483,395
484,889
485,584
486,441
487,1
488,592
489,469
490,46
491,639
