,Name,Price,Seller,Amount Sold,Seller's town,Rating
0,Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp22.500,Lidigeli,29 terjual,Kab. Garut,5.0
1,Kylafood Seblak Cup,Rp11.000,Kylafood Jakarta,100+ terjual,Jakarta Selatan,4.9
2,"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,40+ terjual,Depok,5.0
3,KERUPUK KRUPUK SEBLAK PEDAS 250 GR,Rp17.248,TOKO KUE MEISYA,100+ terjual,Jakarta Pusat,4.9
4,KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,Rp19.050,dariimyu,100+ terjual,Kab. Indramayu,5.0
5,Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,2rb+ terjual,Tangerang Selatan,4.8
6,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,Rp40.000,Naturally Plus Jakarta,100+ terjual,Kab. Tangerang,5.0
7,seblak frozen,Rp10.400,pelangi girls naget,2rb+ terjual,Jakarta Timur,4.9
8,Kylafood Seblak Rempah Autentik 115 gram,Rp10.700,,100+ terjual,,5.0
9,Kylafood Seblak Cup 110 gram,Rp12.100,,60+ terjual,,5.0
10,Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,2rb+ terjual,Tangerang Selatan,4.8
11,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp15.000,Central Seblak Nusantara,2rb+ terjual,Tangerang Selatan,4.9
12,seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,750+ terjual,Jakarta Barat,4.8
13,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,100+ terjual,Kab. Garut,4.9
14,seblak instan jeletot jajanan hits bandung 1 porsi,Rp4.180,tokomakanankalimantan,1rb+ terjual,Jakarta Barat,4.8
15,"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,250+ terjual,Tangerang Selatan,4.8
16,KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,Rp25.000,LEGIT SNACK,24 terjual,Jakarta Barat,5.0
17,Kerupuk Seblak / Seblak / Kering Pedas /,Rp9.800,Anggris store,40+ terjual,Kab. Bogor,4.8
18,"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,750+ terjual,Tangerang Selatan,4.9
19,"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",Rp8.000,global cookware1,500+ terjual,Jakarta Barat,4.9
20,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,Rp40.000,Naturally Plus Jakarta,100+ terjual,Kab. Tangerang,5.0
21,Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,Rp20.000,KRIUK JAYA,26 terjual,Jakarta Barat,4.9
22,Krupuk seblak mawar rafael pedas 500gr,Rp20.000,Markas Makaroni,100+ terjual,Kab. Bekasi,4.9
23,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,100+ terjual,Kab. Garut,4.9
24,Krupuk seblak mawar rafael pedas 250gram,Rp12.500,Markas Makaroni,100+ terjual,Kab. Bekasi,4.7
25,Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,2rb+ terjual,Tangerang Selatan,4.8
26,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp15.000,Central Seblak Nusantara,2rb+ terjual,Tangerang Selatan,4.9
27,seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,750+ terjual,Jakarta Barat,4.8
28,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,100+ terjual,Kab. Garut,4.9
29,PROMO !!!! Seblak Instan Beli 20 free 1 Murah Enak,Rp4.550,ivy's-kitchen,500+ terjual,Kab. Tangerang,4.7
30,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,100+ terjual,Kab. Garut,4.9
31,Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,2rb+ terjual,Tangerang Selatan,4.8
32,Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,2rb+ terjual,Kab. Garut,4.9
33,"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,250+ terjual,Tangerang Selatan,4.8
34,"seblak ceker 250 gr pedas daun jeruk, gurih,cemilan bikin nagih",Rp9.999,aghniya,60+ terjual,Tangerang Selatan,4.8
35,Kerupuk seblak pedas 500 Grm / kerupuk seblak pedas kencur,Rp22.500,adistri snack,,Kab.Ciamis,
36,kerupuk seblak 1kg - 1 kg,Rp42.000,zyvasnack,1 terjual,Kab. Purworejo,
37,kerupuk seblak pedas 1/2 kg / kerupuk seblak ½ - Pedas,Rp20.482,Adila_Putri_Snack,100+ terjual,Kab.Ciamis,4.8
38,Seblak Merah Pedas / Kerupuk Bawang Oleh Oleh Bandung Odjolali,Rp9.000,The Little Snacks,500+ terjual,Tangerang Selatan,4.9
