Name,Price,Seller,Amount Sold,Seller's town,Rating
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,22500,Lidigeli,29,Kab. Garut,5.0
Kylafood Seblak Cup,11000,Kylafood Jakarta,100,Jakarta Selatan,4.9
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,40,Depok,5.0
KERUPUK KRUPUK SEBLAK PEDAS 250 GR,17248,TOKO KUE MEISYA,100,Jakarta Pusat,4.9
KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19050,dariimyu,100,Kab. Indramayu,5.0
Seblak Instan Pedas Home Made,3500,the Dhecip,2000,Tangerang Selatan,4.8
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40000,Naturally Plus Jakarta,100,Kab. Tangerang,5.0
seblak frozen,10400,pelangi girls naget,2000,Jakarta Timur,4.9
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,15000,Central Seblak Nusantara,2000,Tangerang Selatan,4.9
seblak instant sajodo snak,19000,hikmah berkah jaya,750,Jakarta Barat,4.8
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,100,Kab. Garut,4.9
seblak instan jeletot jajanan hits bandung 1 porsi,4180,tokomakanankalimantan,1000,Jakarta Barat,4.8
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",9999,aghniya,250,Tangerang Selatan,4.8
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,25000,LEGIT SNACK,24,Jakarta Barat,5.0
Kerupuk Seblak / Seblak / Kering Pedas /,9800,Anggris store,40,Kab. Bogor,4.8
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999,aghniya,750,Tangerang Selatan,4.9
"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",8000,global cookware1,500,Jakarta Barat,4.9
