"sellertown","price"
"Kab. Garut                                                  ","22500"
"Kab. Indramayu                                              ","19050"
"Kab. Garut                                                  ","13000"
"Kab. Garut                                                  ","5999"
"Kab.Ciamis                                                  ","20482"
"Kab. Garut                                                  ","5500"
"Kab. Garut                                                  ","12000"
"Cimahi                                                      ","5702"
"Kab. Garut                                                  ","25000"
"Kab. Garut                                                  ","31000"
"Bandung                                                     ","37920"
"Bandung                                                     ","18000"
"Bandung                                                     ","17100"
"Cimahi                                                      ","93840"
"Bandung                                                     ","216630"
"Bandung                                                     ","10530"
"Surabaya                                                    ","7900"
"Bandung                                                     ","39500"
"Kab. Garut                                                  ","39000"
"Bandung                                                     ","21450"
"Bandung                                                     ","85875"
"Kab. Garut                                                  ","19109"
"Kab. Garut                                                  ","10965"
"Bandung                                                     ","16000"
"Kab. Mojokerto                                              ","3899"
"Surabaya                                                    ","2600"
"Kab. Bandung                                                ","22000"
"Kab. Garut                                                  ","32500"
"Tasikmalaya                                                 ","9999"
"Surabaya                                                    ","15000"
"Kab. Bandung                                                ","25000"
"Bandung                                                     ","25500"
"Kab. Garut                                                  ","8000"
"Kab. Bandung                                                ","12900"
"Surabaya                                                    ","10000"
"Kab. Garut                                                  ","5000"
"Surabaya                                                    ","30000"
"Kab. Bandung                                                ","25000"
"Kab. Garut                                                  ","13999"
"Bandung                                                     ","16800"
"Surabaya                                                    ","57000"
"Serang                                                      ","10000"
"Surabaya                                                    ","16900"
"Cimahi                                                      ","10000"
"Kab. Garut                                                  ","7000"
"Cimahi                                                      ","17950"
"Bandung                                                     ","13020"
"Cimahi                                                      ","5702"
"Medan                                                       ","42500"
"Bandung                                                     ","74999"
"Bandung                                                     ","50000"
"Batam                                                       ","2000"
"Kab. Garut                                                  ","15000"
"Kab. Garut                                                  ","49000"
"Kab. Sumedang                                               ","15000"
"Bandung                                                     ","8899"
"Tasikmalaya                                                 ","98000"
"Kab. Bandung                                                ","370"
"Banjarbaru                                                  ","7599"
"Bandung                                                     ","20750"
"Yogyakarta                                                  ","27000"
"Kab. Garut                                                  ","37379"
"Surabaya                                                    ","15000"
"Kab. Garut                                                  ","14500"
"Malang                                                      ","10000"
"Kab. Garut                                                  ","20999"
"Kab. Bandung                                                ","3000"
"Malang                                                      ","11999"
"Bandung                                                     ","15000"
"Kab. Bandung Barat                                          ","20000"
"Surabaya                                                    ","41999"
